ensembl_gene_id hgnc_symbol hgnc_id chromosome_name start_position end_position gene_biotype
ENSG00000198888 MT-ND1 HGNC:7455 MT 3307 4262 protein_coding
ENSG00000198763 MT-ND2 HGNC:7456 MT 4470 5511 protein_coding
ENSG00000198804 MT-CO1 HGNC:7419 MT 5904 7445 protein_coding
ENSG00000198712 MT-CO2 HGNC:7421 MT 7586 8269 protein_coding
ENSG00000228253 MT-ATP8 HGNC:7415 MT 8366 8572 protein_coding
ENSG00000198899 MT-ATP6 HGNC:7414 MT 8527 9207 protein_coding
ENSG00000198938 MT-CO3 HGNC:7422 MT 9207 9990 protein_coding
ENSG00000198840 MT-ND3 HGNC:7458 MT 10059 10404 protein_coding
ENSG00000212907 MT-ND4L HGNC:7460 MT 10470 10766 protein_coding
ENSG00000198886 MT-ND4 HGNC:7459 MT 10760 12137 protein_coding
ENSG00000198786 MT-ND5 HGNC:7461 MT 12337 14148 protein_coding
ENSG00000198695 MT-ND6 HGNC:7462 MT 14149 14673 protein_coding
ENSG00000198727 MT-CYB HGNC:7427 MT 14747 15887 protein_coding
ENSG00000262826 INTS3 HGNC:26153 CHR_HSCHR1_1_CTG31 153745298 153792039 protein_coding
ENSG00000273947 KIR2DL3 HGNC:6331 CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1 54738538 54753053 protein_coding
ENSG00000276779 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1 54803599 54814548 protein_coding
ENSG00000273735 KIR3DL2 HGNC:6339 CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1 54864204 54872914 protein_coding
ENSG00000276820 KIR2DL1 HGNC:6329 CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1 54813971 54828213 protein_coding
ENSG00000273775 KIR3DL1 HGNC:6338 CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1 54816442 54830745 protein_coding
ENSG00000278306 KIR2DS3 HGNC:6335 CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1 54782354 54796789 protein_coding
ENSG00000276433 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1 54724498 54736060 protein_coding
ENSG00000275732 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1 54847612 54858688 protein_coding
ENSG00000278731 KIR2DL2 HGNC:6330 CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1 54754673 54769220 protein_coding
ENSG00000277554 KIR2DL3 HGNC:6331 CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1 54738470 54752993 protein_coding
ENSG00000277620 KIR3DL3 HGNC:16312 CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1 54724450 54736092 protein_coding
ENSG00000278074 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1 54803565 54814279 protein_coding
ENSG00000277272 KIR3DL1 HGNC:6338 CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1 54816451 54830756 protein_coding
ENSG00000276044 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1 54833799 54844782 protein_coding
ENSG00000277355 KIR2DL4 HGNC:6332 CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1 54789806 54800882 protein_coding
ENSG00000280663 PCMTD2 HGNC:15882 CHR_HSCHR20_1_CTG3 64259386 64278487 protein_coding
ENSG00000277334 NCR1 HGNC:6731 CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1 54892528 54896443 protein_coding
ENSG00000276379 KIR3DL1 HGNC:6338 CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1 54816496 54820397 protein_coding
ENSG00000276518 KIR3DP1 HGNC:16343 CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1 54771247 54784650 protein_coding
ENSG00000278152 KIR2DS2 HGNC:6334 CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1 54738439 54769215 protein_coding
